"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"13.11.2020","28,1993","27,6528","28,3829","27,5779","1,94M","1,79%"
"12.11.2020","27,7046","28,0113","28,0113","27,4607","1,66M","-1,02%"
"11.11.2020","27,9900","28,2078","28,2814","27,9900","1,97M","-0,78%"
"10.11.2020","28,2100","27,9401","28,2200","27,7439","2,17M","0,43%"
"09.11.2020","28,0890","28,4079","28,8574","27,9354","2,15M","-1,03%"
"08.11.2020","28,3810","27,6258","28,5300","27,6258","2,30M","2,27%"
"07.11.2020","27,7503","29,0218","29,7930","27,6086","3,09M","-4,53%"
"06.11.2020","29,0658","27,6863","29,0754","27,6863","2,74M","4,96%"
"05.11.2020","27,6932","26,9754","27,8367","26,8563","2,40M","2,79%"
"04.11.2020","26,9426","26,8926","26,9426","26,2680","2,04M","0,26%"
"03.11.2020","26,8729","27,7527","27,7527","26,4379","2,59M","-3,33%"
"02.11.2020","27,7985","28,5540","28,7618","27,7985","2,13M","-2,50%"
"01.11.2020","28,5123","28,4201","28,5123","28,1606","1,91M","-0,01%"
"31.10.2020","28,5142","28,5053","28,7492","28,3735","1,98M","0,09%"
"30.10.2020","28,4890","29,8386","29,9701","27,8685","3,21M","-4,61%"
"29.10.2020","29,8650","30,3273","30,3297","29,8650","1,98M","-1,54%"
"28.10.2020","30,3335","31,4704","31,7017","30,1898","2,21M","-3,67%"
"27.10.2020","31,4901","31,0305","31,9837","31,0305","2,89M","1,43%"
"26.10.2020","31,0448","30,0947","31,2157","30,0947","2,65M","2,96%"
"25.10.2020","30,1509","30,5900","30,7020","30,0651","1,49M","-1,59%"
"24.10.2020","30,6372","30,5650","30,8100","30,5650","1,62M","0,01%"
"23.10.2020","30,6348","30,5878","31,0336","30,2853","2,03M","-0,03%"
"22.10.2020","30,6454","29,7242","31,0435","29,7242","2,83M","3,04%"
"21.10.2020","29,7426","28,7304","30,0601","28,7304","2,66M","3,34%"
"20.10.2020","28,7807","29,9224","30,0527","28,6308","2,58M","-3,80%"
"19.10.2020","29,9177","30,5879","30,5879","29,9177","1,75M","-2,43%"
"18.10.2020","30,6634","30,1878","30,7682","30,1869","2,27M","1,44%"
"17.10.2020","30,2277","30,0429","30,4792","30,0400","1,86M","0,74%"
"16.10.2020","30,0057","31,2444","31,6709","29,9459","2,97M","-4,15%"
"15.10.2020","31,3039","30,8378","31,3148","30,8378","2,68M","1,50%"
"14.10.2020","30,8426","30,6421","31,0500","30,4348","2,47M","0,38%"
"13.10.2020","30,7256","30,5192","31,3431","30,5192","3,34M","0,23%"
"12.10.2020","30,6554","28,5204","30,8210","28,5204","4,36M","7,47%"
"11.10.2020","28,5246","28,4116","28,5572","28,0937","2,34M","0,51%"
"10.10.2020","28,3812","28,4013","29,1102","28,3290","2,40M","-0,00%"
"09.10.2020","28,3813","27,7200","28,4360","27,5746","2,59M","2,51%"
"08.10.2020","27,6868","27,6830","27,6868","26,7584","2,48M","-0,05%"
"07.10.2020","27,7017","27,6493","27,7293","27,2133","2,06M","0,04%"
"06.10.2020","27,6918","28,6249","28,9800","27,6303","2,81M","-3,07%"
"05.10.2020","28,5696","28,9267","29,1536","28,3563","2,27M","-1,56%"
"04.10.2020","29,0222","28,1023","29,0222","28,1023","3,10M","2,97%"
"03.10.2020","28,1857","27,2950","28,1857","27,2950","2,95M","3,24%"
"02.10.2020","27,3000","27,4535","27,7104","26,3682","4,14M","-0,68%"
"01.10.2020","27,4882","29,2676","29,2676","27,3583","4,05M","-6,09%"
"30.09.2020","29,2705","28,8484","29,2705","28,2520","3,11M","1,66%"
"29.09.2020","28,7915","26,9353","28,7915","26,9353","3,64M","6,69%"
"28.09.2020","26,9853","26,2627","27,6935","26,2627","3,22M","2,89%"
"27.09.2020","26,2282","26,1252","26,6033","25,9839","2,56M","0,11%"
"26.09.2020","26,1986","24,7210","26,1986","24,5642","3,12M","6,16%"
"25.09.2020","24,6777","24,5546","24,8085","24,0933","2,83M","0,42%"
"24.09.2020","24,5751","22,8143","24,5751","22,8143","3,29M","7,76%"
"23.09.2020","22,8060","24,0468","24,0468","22,6785","3,13M","-5,11%"
"22.09.2020","24,0351","23,0722","24,1878","23,0722","3,30M","4,44%"
"21.09.2020","23,0137","26,0687","26,4778","23,0137","5,25M","-12,55%"
"20.09.2020","26,3160","27,1419","27,1419","26,0147","2,85M","-3,26%"
"19.09.2020","27,2036","27,4629","27,4629","26,6817","2,43M","-1,74%"
"18.09.2020","27,6845","27,0973","28,0683","26,8803","4,25M","2,31%"
"17.09.2020","27,0605","27,7769","27,8448","26,4204","4,62M","-2,72%"
"16.09.2020","27,8165","27,1416","27,8655","26,2365","5,78M","2,59%"
"15.09.2020","27,1148","30,9356","30,9356","27,1148","7,95M","-12,85%"
