"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"18.02.2020","1,0792","1,0838","1,0839","1,0785","-0,40%"
"17.02.2020","1,0835","1,0832","1,0852","1,0821","0,03%"
"14.02.2020","1,0832","1,0841","1,0862","1,0827","-0,09%"
"13.02.2020","1,0841","1,0874","1,0890","1,0833","-0,29%"
"12.02.2020","1,0873","1,0916","1,0927","1,0864","-0,39%"
"11.02.2020","1,0916","1,0911","1,0926","1,0891","0,05%"
"10.02.2020","1,0911","1,0951","1,0958","1,0907","-0,31%"
"07.02.2020","1,0945","1,0983","1,0986","1,0941","-0,32%"
"06.02.2020","1,0980","1,0999","1,1014","1,0964","-0,17%"
"05.02.2020","1,0999","1,1044","1,1049","1,0993","-0,41%"
"04.02.2020","1,1044","1,1059","1,1065","1,1033","-0,14%"
"03.02.2020","1,1060","1,1092","1,1096","1,1035","-0,31%"
"31.01.2020","1,1094","1,1032","1,1097","1,1016","0,56%"
"30.01.2020","1,1032","1,1010","1,1040","1,1006","0,19%"
"29.01.2020","1,1011","1,1022","1,1028","1,0991","-0,10%"
"28.01.2020","1,1022","1,1019","1,1026","1,0998","0,04%"
"27.01.2020","1,1018","1,1021","1,1039","1,1009","-0,06%"
"24.01.2020","1,1025","1,1055","1,1063","1,1020","-0,26%"
"23.01.2020","1,1054","1,1092","1,1109","1,1036","-0,35%"
"22.01.2020","1,1093","1,1084","1,1099","1,1070","0,08%"
"21.01.2020","1,1084","1,1095","1,1119","1,1080","-0,10%"
"20.01.2020","1,1095","1,1092","1,1104","1,1076","0,05%"
"17.01.2020","1,1090","1,1136","1,1143","1,1085","-0,42%"
"16.01.2020","1,1137","1,1151","1,1173","1,1128","-0,13%"
"15.01.2020","1,1151","1,1130","1,1164","1,1118","0,20%"
"14.01.2020","1,1128","1,1135","1,1145","1,1104","-0,06%"
"13.01.2020","1,1135","1,1125","1,1148","1,1112","0,12%"
"10.01.2020","1,1122","1,1106","1,1130","1,1085","0,14%"
"09.01.2020","1,1106","1,1106","1,1121","1,1092","0,01%"
"08.01.2020","1,1105","1,1154","1,1169","1,1101","-0,43%"
"07.01.2020","1,1153","1,1198","1,1198","1,1133","-0,38%"
"06.01.2020","1,1195","1,1168","1,1207","1,1155","0,31%"
"03.01.2020","1,1160","1,1172","1,1181","1,1125","-0,11%"
"02.01.2020","1,1172","1,1212","1,1227","1,1163","-0,36%"
"01.01.2020","1,1212","1,1213","1,1223","1,1205","0,00%"
